## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Dudnikov_gr4_newbies-eye_data.idf
## Date:	27.04.2012 09:44:13
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	130765
## Reversed:	none
## [Run]
## Subject:	Dudnikov_gr4_newbies
## Description:	Run20
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
6345268555	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
6345269583	SMP	1	113.10	79.52	31.00	29.00	104.71	97.79	586.49	561.64
6345271585	SMP	1	113.17	79.54	31.00	29.00	104.72	97.77	587.24	562.27
6345273585	SMP	1	113.17	79.49	32.00	29.00	104.73	97.77	587.69	561.39
6345275585	SMP	1	113.17	79.51	31.00	29.00	104.73	97.76	587.57	561.54
6345277585	SMP	1	113.13	79.52	31.00	29.00	104.75	97.72	586.69	563.01
6345279590	SMP	1	113.15	79.49	32.00	29.00	104.74	97.78	586.21	561.81
6345281591	SMP	1	113.19	79.51	32.00	29.00	104.74	97.74	586.80	562.70
6345283591	SMP	1	113.17	79.46	31.00	29.00	104.73	97.76	587.27	560.84
6345285591	SMP	1	113.15	79.50	32.00	29.00	104.73	97.76	587.35	560.72
6345287588	SMP	1	113.17	79.46	32.00	29.00	104.76	97.78	587.05	559.52
6345289588	SMP	1	113.18	79.52	32.00	30.00	104.76	97.78	586.72	559.80
6345291592	SMP	1	113.13	79.49	32.00	29.00	104.77	97.77	585.59	559.99
6345293592	SMP	1	113.14	79.49	32.00	29.00	104.76	97.79	585.13	559.77
6345295591	SMP	1	113.14	79.50	32.00	29.00	104.79	97.82	584.41	559.00
6345297594	SMP	1	113.17	79.47	32.00	29.00	104.72	97.78	585.82	558.44
6345299591	SMP	1	113.16	79.48	32.00	29.00	104.76	97.79	586.05	558.22
6345301596	SMP	1	113.14	79.54	32.00	29.00	104.76	97.80	585.77	559.22
6345303597	SMP	1	113.15	79.54	32.00	30.00	104.75	97.78	585.89	560.82
6345305595	SMP	1	113.14	79.54	31.00	29.00	104.76	97.83	585.29	560.60
6345307596	SMP	1	113.14	79.54	31.00	29.00	104.73	97.85	585.62	559.81
6345309598	SMP	1	113.18	79.53	32.00	30.00	104.73	97.83	586.99	559.22
6345311599	SMP	1	113.12	79.53	31.00	29.00	104.73	97.88	586.72	557.68
6345313599	SMP	1	113.14	79.55	32.00	29.00	104.72	97.90	586.98	556.59
6345315598	SMP	1	113.05	79.58	31.00	29.00	104.72	97.86	585.12	557.98
6345317599	SMP	1	113.15	79.60	32.00	29.00	104.74	97.93	585.23	557.67
6345319603	SMP	1	113.12	79.58	31.00	29.00	104.70	97.92	585.92	557.45
6345321606	SMP	1	113.12	79.65	32.00	29.00	104.71	97.95	586.30	557.81
6345323604	SMP	1	113.09	79.60	32.00	29.00	104.67	97.91	586.83	557.89
6345325608	SMP	1	113.06	79.64	32.00	29.00	104.67	97.97	586.39	557.70
6345327603	SMP	1	113.09	79.68	32.00	30.00	104.66	98.00	586.69	557.88
6345329606	SMP	1	113.07	79.72	32.00	30.00	104.65	98.05	586.83	557.60
6345331609	SMP	1	113.10	79.68	32.00	30.00	104.64	98.04	587.76	556.66
6345333608	SMP	1	113.03	79.74	31.00	30.00	104.61	98.11	587.71	555.61
6345335609	SMP	1	113.02	79.79	31.00	30.00	104.60	98.11	587.40	556.17
6345337609	SMP	1	113.01	79.84	32.00	30.00	104.59	98.15	587.27	557.03
6345339609	SMP	1	112.98	79.82	31.00	30.00	104.59	98.15	586.61	557.27
6345341612	SMP	1	112.99	79.88	31.00	30.00	104.55	98.19	587.04	557.90
6345343613	SMP	1	112.99	79.86	32.00	30.00	104.53	98.22	588.02	556.77
6345345611	SMP	1	112.94	79.88	31.00	30.00	104.52	98.23	587.96	555.95
6345347614	SMP	1	112.92	79.93	31.00	30.00	104.51	98.26	587.62	556.17
6345349614	SMP	1	112.91	79.95	31.00	30.00	104.51	98.29	586.92	556.06
6345351614	SMP	1	112.89	79.96	31.00	30.00	104.49	98.27	586.24	557.02
6345353613	SMP	1	112.84	79.99	31.00	29.00	104.49	98.29	585.13	558.08
6345355614	SMP	1	112.88	80.06	31.00	30.00	104.46	98.31	585.40	559.79
6345357613	SMP	1	112.84	80.03	31.00	29.00	104.47	98.34	584.90	559.64
6345359612	SMP	1	112.86	80.07	31.00	30.00	104.44	98.32	585.49	560.74
6345361619	SMP	1	112.84	80.12	31.00	29.00	104.43	98.31	585.98	563.06
6345363620	SMP	1	112.78	80.13	31.00	30.00	104.41	98.38	585.39	563.00
6345365618	SMP	1	112.76	80.10	31.00	29.00	104.41	98.39	584.72	561.82
6345367617	SMP	1	112.75	80.18	31.00	30.00	104.38	98.38	584.25	562.99
6345369619	SMP	1	112.75	80.18	31.00	30.00	104.36	98.44	584.49	562.30
6345371621	SMP	1	112.75	80.18	31.00	30.00	104.35	98.41	584.92	562.94
6345373622	SMP	1	112.71	80.19	31.00	30.00	104.32	98.43	585.30	562.96
6345375622	SMP	1	112.69	80.24	31.00	29.00	104.29	98.45	585.46	563.45
6345377620	SMP	1	112.69	80.26	31.00	29.00	104.24	98.49	586.39	563.44
6345379620	SMP	1	112.65	80.23	31.00	29.00	104.21	98.49	587.16	562.60
6345381627	SMP	1	112.62	80.26	32.00	30.00	104.16	98.55	588.04	561.11
6345383626	SMP	1	112.63	80.33	31.00	30.00	104.13	98.54	589.25	562.18
6345385626	SMP	1	112.60	80.31	32.00	29.00	104.11	98.60	589.89	560.98
6345387627	SMP	1	112.54	80.36	32.00	29.00	104.07	98.59	589.94	562.06
6345389625	SMP	1	112.54	80.35	31.00	29.00	104.05	98.60	590.11	562.27
6345391628	SMP	1	112.53	80.34	32.00	29.00	104.03	98.62	590.42	561.22
6345393628	SMP	1	112.47	80.36	32.00	29.00	104.03	98.64	589.68	560.80
6345395628	SMP	1	112.48	80.41	32.00	30.00	104.01	98.65	589.45	561.19
6345397629	SMP	1	112.46	80.38	32.00	30.00	103.99	98.68	589.32	560.34
6345399628	SMP	1	112.45	80.45	32.00	29.00	104.00	98.71	588.91	560.74
6345401633	SMP	1	112.41	80.41	32.00	29.00	103.98	98.68	588.39	560.78
6345403631	SMP	1	112.39	80.43	32.00	30.00	103.97	98.71	587.61	560.36
6345405631	SMP	1	112.38	80.44	32.00	29.00	103.97	98.76	587.06	559.43
6345407632	SMP	1	112.34	80.42	32.00	29.00	103.96	98.75	586.09	558.20
6345409631	SMP	1	112.39	80.50	32.00	30.00	103.93	98.73	587.05	559.97
6345411636	SMP	1	112.35	80.42	32.00	29.00	103.93	98.69	587.13	560.50
6345413636	SMP	1	112.32	80.45	32.00	29.00	103.93	98.74	586.67	560.35
6345415637	SMP	1	112.32	80.46	32.00	30.00	103.93	98.78	586.22	559.62
6345417636	SMP	1	112.31	80.52	32.00	29.00	103.88	98.76	586.21	560.43
6345419636	SMP	1	112.34	80.47	32.00	30.00	103.90	98.77	586.76	559.85
6345421641	SMP	1	112.28	80.47	32.00	31.00	103.88	98.75	586.65	560.13
6345423641	SMP	1	112.27	80.52	32.00	29.00	103.87	98.79	586.47	560.51
6345425640	SMP	1	112.28	80.50	32.00	29.00	103.90	98.77	585.79	560.62
6345427640	SMP	1	112.30	80.53	32.00	30.00	103.89	98.83	585.65	560.18
6345429638	SMP	1	112.26	80.52	32.00	29.00	103.86	98.81	585.71	559.88
6345431642	SMP	1	112.28	80.54	32.00	30.00	103.90	98.88	585.48	558.63
6345433642	SMP	1	112.27	80.60	32.00	30.00	103.88	98.84	585.38	560.23
6345435643	SMP	1	112.28	80.54	32.00	31.00	103.88	98.84	585.42	559.74
6345437643	SMP	1	112.26	80.53	32.00	30.00	103.89	98.82	585.10	559.76
6345439643	SMP	1	112.24	80.53	32.00	30.00	103.90	98.83	584.13	559.45
6345441647	SMP	1	112.30	80.57	32.00	30.00	103.90	98.83	584.49	559.89
6345443645	SMP	1	112.28	80.56	32.00	30.00	103.89	98.87	584.95	559.56
6345445647	SMP	1	112.29	80.53	32.00	30.00	103.89	98.86	585.37	558.60
6345447645	SMP	1	112.29	80.51	32.00	31.00	103.92	98.88	585.20	556.91
6345449647	SMP	1	112.27	80.58	32.00	30.00	103.92	98.89	584.30	557.21
6345451649	SMP	1	112.28	80.53	32.00	30.00	103.91	98.87	584.18	556.93
6345453651	SMP	1	112.29	80.56	32.00	29.00	103.93	98.85	583.99	558.04
6345455649	SMP	1	112.32	80.58	32.00	29.00	103.93	98.84	584.42	559.83
6345457651	SMP	1	112.31	80.50	33.00	30.00	103.92	98.90	585.13	556.29
6345459649	SMP	1	112.33	80.54	32.00	29.00	103.93	98.92	585.65	555.19
6345461653	SMP	1	112.36	80.59	32.00	30.00	103.92	98.87	586.64	557.57
6345463655	SMP	1	112.35	80.60	32.00	30.00	103.94	98.93	586.82	556.99
6345465654	SMP	1	112.37	80.60	32.00	30.00	103.94	98.88	587.17	558.88
6345467652	SMP	1	112.31	80.61	32.00	30.00	103.95	98.92	586.11	558.78
6345469656	SMP	1	112.42	80.60	32.00	30.00	103.96	98.91	586.96	558.57
6345471660	SMP	1	112.39	80.63	32.00	30.00	103.96	98.93	587.18	558.60
6345473659	SMP	1	112.40	80.61	32.00	30.00	103.96	98.95	587.59	557.50
6345475658	SMP	1	112.39	80.65	32.00	30.00	103.98	98.91	587.41	559.09
6345477659	SMP	1	112.40	80.65	32.00	30.00	104.00	98.92	586.61	559.87
6345479656	SMP	1	112.38	80.66	32.00	30.00	103.98	98.96	586.12	559.61
6345481661	SMP	1	112.35	80.65	32.00	31.00	103.98	98.99	585.32	558.43
6345483663	SMP	1	112.40	80.65	32.00	30.00	104.00	99.01	585.33	556.86
6345485663	SMP	1	112.35	80.71	32.00	30.00	103.99	98.99	584.80	557.85
6345487663	SMP	1	112.34	80.70	32.00	30.00	103.98	99.00	584.36	558.46
6345489658	SMP	1	112.39	80.68	32.00	30.00	104.00	99.04	584.82	557.64
6345491665	SMP	1	112.35	80.72	32.00	30.00	104.00	99.06	584.24	557.19
6345493666	SMP	1	112.40	80.73	32.00	30.00	103.99	99.02	585.11	557.57
6345495665	SMP	1	112.44	80.78	32.00	30.00	104.01	99.07	586.12	558.26
6345497665	SMP	1	112.43	80.74	32.00	30.00	104.00	99.09	586.69	557.55
6345499665	SMP	1	112.42	80.73	32.00	30.00	104.02	99.08	586.84	556.77
6345501670	SMP	1	112.39	80.74	32.00	30.00	104.01	99.07	586.15	556.70
6345503670	SMP	1	112.36	80.75	32.00	30.00	104.01	99.09	584.84	556.45
6345505667	SMP	1	112.42	80.70	32.00	31.00	104.01	99.10	585.25	555.11
6345507668	SMP	1	112.40	80.74	32.00	31.00	104.03	99.05	584.88	556.26
6345509670	SMP	1	112.44	80.71	32.00	31.00	104.01	99.03	585.75	556.88
6345511673	SMP	1	112.40	80.68	32.00	30.00	104.03	99.06	585.45	555.61
6345513670	SMP	1	112.47	80.75	32.00	30.00	104.03	99.03	586.16	557.54
6345515672	SMP	1	112.41	80.72	32.00	30.00	104.02	99.01	586.16	558.32
6345517670	SMP	1	112.43	80.74	32.00	31.00	104.01	98.96	586.36	561.08
6345519670	SMP	1	112.36	80.65	32.00	31.00	104.00	98.86	585.41	562.82
6345521674	SMP	1	112.24	80.49	32.00	30.00	104.01	98.81	581.30	560.92
6345523675	SMP	1	112.01	80.26	32.00	31.00	103.93	98.72	573.83	553.26
6345525677	SMP	1	111.87	80.02	33.00	30.00	103.89	98.58	567.90	546.21
6345527677	SMP	1	111.61	79.66	32.00	30.00	103.84	98.51	558.42	525.65
6345529680	SMP	1	111.51	79.36	33.00	29.00	103.84	98.41	553.02	514.61
6345531679	SMP	1	111.33	79.07	32.00	30.00	103.83	98.20	545.38	509.73
6345533679	SMP	1	111.30	78.75	32.00	30.00	103.81	98.07	542.98	498.56
6345535680	SMP	1	111.23	78.44	32.00	30.00	103.83	97.89	539.57	489.55
6345537680	SMP	1	111.28	78.10	32.00	30.00	103.83	97.73	539.21	478.95
6345539677	SMP	1	111.25	77.72	32.00	30.00	103.80	97.50	539.24	469.29
6345541682	SMP	1	111.16	77.34	32.00	29.00	103.79	97.28	537.93	459.76
6345543681	SMP	1	111.01	76.99	32.00	30.00	103.73	97.14	534.96	445.57
6345545686	SMP	1	110.85	76.60	32.00	29.00	103.67	96.99	530.51	429.75
6345547684	SMP	1	110.70	76.26	33.00	30.00	103.64	96.83	525.02	419.67
6345549684	SMP	1	110.60	76.00	32.00	30.00	103.62	96.63	520.42	415.82
6345551687	SMP	1	110.50	75.72	32.00	29.00	103.61	96.53	515.94	405.46
6345553687	SMP	1	110.45	75.50	33.00	29.00	103.60	96.37	513.03	400.71
6345555688	SMP	1	110.44	75.32	32.00	29.00	103.62	96.25	510.79	397.08
6345557687	SMP	1	110.44	75.11	32.00	29.00	103.60	96.14	510.08	391.86
6345559689	SMP	1	110.46	74.90	33.00	29.00	103.58	96.02	510.56	386.29
6345561692	SMP	1	110.44	74.74	32.00	29.00	103.56	95.95	511.28	380.64
6345563691	SMP	1	110.42	74.60	32.00	29.00	103.58	95.94	511.12	373.14
6345565692	SMP	1	110.36	74.58	32.00	29.00	103.58	95.88	509.79	372.32
6345567690	SMP	1	110.41	74.51	32.00	29.00	103.57	95.89	509.73	369.30
6345569691	SMP	1	110.45	74.55	32.00	29.00	103.56	95.88	510.71	369.05
6345571694	SMP	1	110.48	74.58	32.00	29.00	103.56	95.87	512.44	370.13
6345573694	SMP	1	110.43	74.55	32.00	29.00	103.57	95.92	512.67	368.91
6345575693	SMP	1	110.44	74.57	33.00	29.00	103.55	95.88	512.91	369.87
6345577697	SMP	1	110.40	74.57	32.00	29.00	103.57	95.87	511.77	370.46
6345579696	SMP	1	110.43	74.62	32.00	29.00	103.55	95.89	511.74	371.54
6345581698	SMP	1	110.37	74.57	33.00	29.00	103.57	95.91	510.56	370.96
6345583697	SMP	1	110.45	74.57	32.00	29.00	103.54	95.91	511.67	370.16
6345585696	SMP	1	110.40	74.58	32.00	29.00	103.55	95.88	511.53	370.56
6345587697	SMP	1	110.38	74.57	32.00	29.00	103.54	95.91	511.10	369.91
6345589696	SMP	1	110.38	74.53	32.00	29.00	103.53	95.85	511.03	370.13
6345591700	SMP	1	110.38	74.44	32.00	29.00	103.53	95.83	510.85	368.49
6345593699	SMP	1	110.33	74.32	32.00	29.00	103.51	95.70	510.36	367.39
6345595700	SMP	1	110.12	74.05	32.00	29.00	103.48	95.48	505.15	365.56
6345597702	SMP	1	109.89	73.62	32.00	29.00	103.41	95.26	496.32	355.02
6345599703	SMP	1	109.58	73.12	33.00	29.00	103.37	95.01	481.54	337.34
6345601706	SMP	1	109.31	72.55	32.00	29.00	103.36	94.78	468.49	315.21
6345603707	SMP	1	109.09	71.93	32.00	28.00	103.34	94.56	458.74	290.40
6345605705	SMP	1	109.06	71.29	32.00	28.00	103.40	94.27	453.56	270.46
6345607704	SMP	1	109.11	70.73	32.00	28.00	103.43	94.09	452.71	248.12
6345609705	SMP	1	109.27	70.22	32.00	28.00	103.50	93.84	453.68	235.19
6345611712	SMP	1	109.43	69.83	32.00	28.00	103.51	93.74	458.80	218.60
6345613710	SMP	1	109.56	69.53	32.00	27.00	103.54	93.61	464.04	210.52
6345615707	SMP	1	109.64	69.27	31.00	28.00	103.56	93.40	467.53	207.26
6345617709	SMP	1	109.73	69.04	31.00	28.00	103.58	93.26	470.61	203.60
6345619710	SMP	1	109.74	68.85	31.00	28.00	103.61	93.17	471.56	198.32
6345621713	SMP	1	109.73	68.75	31.00	27.00	103.60	93.16	472.03	192.96
6345623711	SMP	1	109.77	68.62	32.00	29.00	103.60	93.17	472.87	186.02
6345625709	SMP	1	109.76	68.59	31.00	27.00	103.60	93.12	473.02	184.44
6345627714	SMP	1	109.72	68.57	31.00	27.00	103.59	93.16	472.53	181.92
6345629712	SMP	1	109.70	68.64	31.00	27.00	103.60	93.15	471.73	182.46
6345631717	SMP	1	109.62	68.76	31.00	27.00	103.58	93.19	469.88	185.45
6345633716	SMP	1	109.58	68.84	31.00	28.00	103.54	93.30	468.39	186.27
6345635716	SMP	1	109.57	68.93	31.00	28.00	103.53	93.33	467.67	188.29
6345637713	SMP	1	109.49	68.95	31.00	28.00	103.51	93.35	466.37	189.28
6345639714	SMP	1	109.43	68.96	31.00	28.00	103.47	93.39	465.17	189.06
6345641716	SMP	1	109.42	68.90	32.00	28.00	103.44	93.41	464.54	187.21
6345643720	SMP	1	109.35	68.89	32.00	27.00	103.40	93.41	463.71	185.10
6345645719	SMP	1	109.28	68.84	31.00	27.00	103.39	93.41	461.91	182.80
6345647720	SMP	1	109.24	68.83	31.00	27.00	103.39	93.48	459.59	179.45
6345649720	SMP	1	109.23	68.85	31.00	28.00	103.37	93.48	458.64	178.16
6345651724	SMP	1	109.22	68.86	31.00	27.00	103.36	93.43	457.96	178.78
6345653724	SMP	1	109.20	68.87	31.00	27.00	103.36	93.42	457.62	179.85
6345655724	SMP	1	109.26	68.84	30.00	27.00	103.34	93.47	458.87	179.30
6345657724	SMP	1	109.21	68.81	32.00	27.00	103.33	93.46	459.10	178.11
6345659723	SMP	1	109.19	68.87	31.00	27.00	103.34	93.46	458.54	178.11
6345661727	SMP	1	109.21	68.85	30.00	27.00	103.32	93.47	458.90	177.82
6345663725	SMP	1	109.22	68.88	30.00	27.00	103.29	93.49	459.87	178.20
6345665727	SMP	1	109.27	68.89	30.00	27.00	103.30	93.51	461.45	178.38
6345667726	SMP	1	109.19	68.88	30.00	27.00	103.28	93.53	461.30	177.55
6345669725	SMP	1	109.16	68.93	30.00	26.00	103.24	93.53	461.24	177.94
6345671727	SMP	1	109.13	68.93	31.00	26.00	103.21	93.57	460.97	177.57
6345673727	SMP	1	109.16	68.96	30.00	26.00	103.19	93.53	461.96	178.68
6345675728	SMP	1	109.09	68.94	30.00	27.00	103.16	93.54	462.16	179.12
6345677729	SMP	1	109.11	68.97	30.00	26.00	103.10	93.62	463.42	178.12
6345679729	SMP	1	109.07	69.00	30.00	26.00	103.08	93.59	464.05	178.68
6345681734	SMP	1	109.09	69.02	30.00	26.00	103.03	93.57	465.83	180.06
6345683735	SMP	1	109.02	69.00	30.00	27.00	103.03	93.64	465.44	178.83
6345685735	SMP	1	109.04	69.02	30.00	26.00	103.03	93.59	465.61	179.71
6345687733	SMP	1	109.02	69.01	30.00	26.00	103.00	93.63	465.76	179.04
6345689734	SMP	1	109.06	69.03	30.00	26.00	102.96	93.65	467.20	178.60
6345691737	SMP	1	109.05	69.04	30.00	26.00	102.98	93.64	468.22	178.96
6345693741	SMP	1	108.99	69.08	30.00	26.00	102.95	93.63	468.09	180.10
6345695739	SMP	1	109.01	69.07	30.00	26.00	102.93	93.67	468.58	180.09
6345697736	SMP	1	109.01	69.09	31.00	26.00	102.89	93.71	469.46	179.55
6345699734	SMP	1	109.03	69.09	30.00	26.00	102.92	93.67	469.97	179.77
6345701740	SMP	1	109.03	69.12	30.00	26.00	102.88	93.71	471.06	179.60
6345703740	SMP	1	109.01	69.11	30.00	26.00	102.87	93.67	471.69	180.34
6345705739	SMP	1	109.02	69.13	30.00	26.00	102.86	93.69	472.37	181.03
6345707740	SMP	1	109.02	69.11	30.00	26.00	102.88	93.73	472.45	180.24
6345709739	SMP	1	109.01	69.11	30.00	26.00	102.87	93.74	472.12	179.24
6345711743	SMP	1	109.01	69.14	30.00	26.00	102.88	93.74	471.82	178.97
6345713746	SMP	1	108.97	69.14	30.00	26.00	102.88	93.74	470.78	178.95
6345715746	SMP	1	109.03	69.15	30.00	26.00	102.86	93.75	471.64	179.35
6345717746	SMP	1	109.03	69.11	30.00	26.00	102.88	93.77	471.95	178.37
6345719746	SMP	1	109.00	69.14	30.00	26.00	102.89	93.84	471.55	176.43
6345721749	SMP	1	109.04	69.16	30.00	26.00	102.89	93.81	471.94	176.03
6345723748	SMP	1	109.06	69.22	30.00	26.00	102.89	93.85	472.44	176.40
6345725749	SMP	1	109.09	69.21	30.00	26.00	102.87	93.82	473.97	177.58
6345727747	SMP	1	109.06	69.19	30.00	26.00	102.88	93.83	474.22	177.82
6345729745	SMP	1	109.03	69.22	30.00	26.00	102.91	93.84	472.97	178.14
6345731751	SMP	1	109.10	69.20	30.00	26.00	102.89	93.85	473.96	177.71
6345733753	SMP	1	109.08	69.24	30.00	26.00	102.92	93.87	473.43	177.60
6345735750	SMP	1	109.09	69.20	30.00	26.00	102.89	93.88	473.97	176.86
6345737754	SMP	1	109.10	69.25	30.00	26.00	102.87	93.87	475.03	177.28
6345739754	SMP	1	109.09	69.26	30.00	26.00	102.87	93.93	475.33	176.68
6345741755	SMP	1	109.09	69.26	30.00	26.00	102.86	93.85	475.86	177.77
6345743754	SMP	1	108.96	69.20	30.00	26.00	102.78	93.88	475.18	176.69
6345745753	SMP	1	108.83	69.01	29.00	26.00	102.72	93.80	472.82	172.70
6345747754	SMP	1	108.69	68.82	29.00	26.00	102.69	93.79	467.66	163.42
6345749756	SMP	1	108.45	68.50	29.00	25.00	102.68	93.76	454.69	145.52
6345751758	SMP	1	108.23	68.24	30.00	25.00	102.64	93.67	444.66	137.31
6345753758	SMP	1	108.02	67.95	29.00	26.00	102.60	93.63	435.56	123.80
6345755758	SMP	1	107.85	67.70	29.00	25.00	102.60	93.58	426.35	114.06
6345757758	SMP	1	107.73	67.54	29.00	25.00	102.57	93.58	420.46	106.00
6345759758	SMP	1	107.65	67.40	29.00	25.00	102.56	93.50	416.36	102.38
6345761761	SMP	1	107.55	67.35	29.00	25.00	102.55	93.49	412.20	99.92
6345763761	SMP	1	107.41	67.29	29.00	25.00	102.52	93.45	407.12	97.88
6345765764	SMP	1	107.27	67.29	29.00	24.00	102.49	93.45	401.48	96.49
6345767764	SMP	1	107.18	67.28	30.00	25.00	102.47	93.43	397.16	95.93
6345769764	SMP	1	107.10	67.24	30.00	25.00	102.45	93.40	393.89	95.52
6345771768	SMP	1	107.03	67.30	30.00	25.00	102.43	93.43	391.29	95.85
6345773768	SMP	1	107.03	67.37	29.00	25.00	102.42	93.47	390.21	96.73
6345775768	SMP	1	107.09	67.43	30.00	25.00	102.42	93.50	390.85	98.03
6345777765	SMP	1	107.07	67.49	29.00	25.00	102.40	93.54	391.73	99.48
6345779767	SMP	1	107.01	67.52	29.00	25.00	102.38	93.52	391.86	101.08
6345781770	SMP	1	107.00	67.54	29.00	25.00	102.35	93.60	391.98	101.08
6345783769	SMP	1	106.99	67.54	29.00	25.00	102.35	93.63	391.63	100.34
6345785769	SMP	1	106.98	67.54	29.00	25.00	102.35	93.64	391.34	99.41
6345787769	SMP	1	106.92	67.52	29.00	25.00	102.32	93.61	390.58	98.85
6345789769	SMP	1	106.92	67.52	29.00	25.00	102.30	93.65	390.02	97.90
6345791772	SMP	1	106.92	67.52	30.00	25.00	102.29	93.66	389.95	97.05
6345793772	SMP	1	106.87	67.51	29.00	25.00	102.27	93.67	389.51	96.01
6345795772	SMP	1	106.94	67.58	29.00	25.00	102.26	93.67	390.81	96.72
6345797774	SMP	1	106.84	67.57	29.00	25.00	102.27	93.66	389.72	97.38
6345799773	SMP	1	106.83	67.58	29.00	25.00	102.22	93.70	389.54	97.51
6345801775	SMP	1	106.88	67.57	29.00	25.00	102.22	93.71	390.40	97.25
6345803775	SMP	1	106.82	67.58	29.00	25.00	102.21	93.69	390.17	97.11
6345805775	SMP	1	106.83	67.56	29.00	25.00	102.19	93.67	390.72	97.23
6345807778	SMP	1	106.86	67.61	29.00	25.00	102.16	93.68	392.38	98.36
6345809777	SMP	1	106.77	67.58	29.00	25.00	102.13	93.71	392.03	97.92
6345811782	SMP	1	106.86	67.63	29.00	25.00	102.10	93.69	394.38	98.86
6345813782	SMP	1	106.77	67.64	29.00	25.00	102.09	93.73	393.99	98.95
6345815779	SMP	1	106.81	67.65	29.00	24.00	102.08	93.70	394.85	99.74
6345817779	SMP	1	106.82	67.69	29.00	25.00	102.10	93.69	395.41	101.26
6345819780	SMP	1	106.81	67.65	29.00	25.00	102.08	93.74	395.53	100.64
6345821785	SMP	1	106.81	67.64	29.00	25.00	102.06	93.76	395.97	99.37
6345823785	SMP	1	106.82	67.66	28.00	25.00	102.06	93.74	396.42	99.21
6345825785	SMP	1	106.82	67.65	29.00	25.00	102.02	93.75	397.45	98.73
6345827784	SMP	1	106.80	67.61	29.00	25.00	102.02	93.80	397.84	96.87
6345829784	SMP	1	106.79	67.68	28.00	25.00	102.03	93.77	397.85	97.73
6345831786	SMP	1	106.82	67.68	28.00	24.00	102.00	93.77	398.72	98.15
6345833785	SMP	1	106.80	67.69	29.00	25.00	101.99	93.77	399.38	98.84
6345835788	SMP	1	106.76	67.70	29.00	24.00	101.97	93.78	399.27	99.46
6345837789	SMP	1	106.76	67.71	29.00	24.00	101.94	93.79	399.81	99.57
6345839789	SMP	1	106.68	67.73	29.00	24.00	101.83	93.78	400.65	100.17
6345841792	SMP	1	106.50	67.70	29.00	24.00	101.71	93.79	400.10	99.82
6345843792	SMP	1	106.22	67.69	28.00	24.00	101.58	93.86	395.21	97.69
6345845790	SMP	1	105.77	67.71	29.00	23.00	101.53	93.84	372.17	96.31
6345847792	SMP	1	105.16	67.68	28.00	24.00	101.33	93.80	351.24	95.12
6345849791	SMP	1	104.53	67.64	29.00	24.00	101.05	93.73	334.72	94.31
6345851797	SMP	1	103.97	67.60	28.00	23.00	100.67	93.74	327.26	92.98
6345853796	SMP	1	103.36	67.55	28.00	24.00	100.54	93.74	300.41	89.48
6345855796	SMP	1	102.83	67.55	28.00	24.00	100.39	93.74	282.33	86.45
6345857796	SMP	1	102.45	67.56	28.00	23.00	100.05	93.75	280.27	84.89
6345859794	SMP	1	102.01	67.57	28.00	23.00	99.81	93.80	273.42	82.93
6345861799	SMP	1	101.59	67.58	28.00	24.00	99.55	93.81	264.43	81.47
6345863797	SMP	1	101.18	67.66	27.00	23.00	99.48	93.75	247.00	82.50
6345865799	SMP	1	100.80	67.70	28.00	23.00	99.37	93.79	234.01	82.94
6345867798	SMP	1	100.55	67.76	27.00	23.00	99.26	93.78	227.98	84.65
6345869797	SMP	1	100.36	67.83	27.00	24.00	99.13	93.79	225.10	86.75
6345871801	SMP	1	100.24	67.83	28.00	23.00	99.01	93.72	224.16	89.72
6345873801	SMP	1	100.29	67.86	27.00	24.00	98.99	93.73	224.76	92.05
6345875801	SMP	1	100.33	67.85	27.00	24.00	98.98	93.77	226.66	92.36
6345877801	SMP	1	100.37	67.83	27.00	24.00	98.94	93.75	229.83	92.36
